HOSTNAME,OS,FACTORY_USER,FACTORY_PASSWORD,FACTORY_BECOME_METHOD,USER,PASSWORD,BECOME_METHOD,BECOME,DESCRIPTION,ORDER,PYTHON_INTERPRETER
,,,ansible,,,,,,,,
logs.acme.aa,libvirt-img-debian-11-firmware-dvd1,ansible,,sudo,super,whisky,sudo,,Log storage,1,
files.acme.aa,libvirt-img-debian-11-firmware-dvd1,ansible,,sudo,super,whisky,sudo,,FTP filestorage,1,
internal.acme.aa,libvirt-img-debian-11-firmware-dvd1,ansible,,sudo,super,whisky,sudo,,Internal webservices,1,
backup.acme.aa,libvirt-img-debian-11-firmware-dvd1,ansible,,sudo,super,whisky,sudo,,Backup storage,1,
admin.acme.aa,libvirt-img-debian-11-firmware-dvd1-xfce,ansible,,sudo,super,whisky,sudo,,Sysadmin host,1,
dc.acme.aa,libvirt-img-debian-11-firmware-dvd1,ansible,,sudo,super,whisky,sudo,,Samba share,1,
pentest1.acme.aa,libvirt-img-kali-linux-32bit-usbredir,ansible,,sudo,super,whisky,sudo,,KALI pentesting Workstation,1,/usr/bin/python3
pentest2.acme.aa,libvirt-img-kali-linux-32bit-usbredir,ansible,,sudo,super,whisky,sudo,,KALI pentesting Workstation,1,/usr/bin/python3
office01.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office02.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office03.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office04.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office05.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office06.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office07.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
office08.acme.aa,libvirt-img-windows-xp-pro,Administrator,,,super,lulu,,FALSE,Windows office PC,1,/usr/bin/python2
